"",weight,持ち,位置,バランス,レスポンス,もち,使い勝手,反応,ホールド感,操作性,質,感度,ホールド性,発色,携帯性,AF精度,画質,重量バランス,視認性,精度,条件,色,デザイン,色乗り,音,写り,相性,目,色のり,解像感,気持ち,フィーリング,評判,ISO感度,ISO,ヌケ,コントラスト,天気,音質,グリップ感,性能,切れ,背面液晶,気分,出来,解像度,・画質,品質,①操作性,映り,質感
weight,"",0.000883663962502284,0.000851776406039471,0.000795348513759717,0.000782878209340638,0.000727389006393485,0.000717731461111451,0.000698613363976167,0.000671798999617429,0.000668592638845848,0.000624309407804099,0.000603461247028647,0.000596755364624735,0.000588823801424214,0.000557558207521352,0.000543135407833827,0.000532977090263498,0.000528117914110657,0.000519033524089033,0.000507034199778882,0.000506972111545342,0.00048815365232423,0.000476820057196858,0.000472197226622555,0.000470599744492877,0.000464897893000515,0.000451003842977908,0.000436856218586232,0.000428837882218288,0.000422046758152169,0.000400273706971894,0.000393819312261611,0.000362474063558854,0.000350056100220484,0.000349031157066479,0.000347408275431622,0.000339482237974427,0.000336898595770755,0.000329175450502141,0.000328479066229427,0.000328460109829117,0.000327271352669356,0.000323570623268266,0.000321532622486643,0.000316886571036866,0.000316242285907709,0.000311845574346073,0.00030993748985721,0.000305779670703155,0.00030529257103819,0.000303923003017286
が良く,4.76092584823625e-05,0,0,10,6,0,10,1,5,8,1,2,4,3,2,0,6,3,0,2,0,0,3,2,0,4,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,0,0,0,0,1,0,5
が悪く,4.30182514266799e-05,6,3,2,1,0,1,1,3,0,1,1,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
が悪い,3.99898957633194e-05,36,5,6,6,7,7,2,5,6,2,2,2,2,3,2,12,1,1,2,2,2,0,0,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
がよく,3.81034167789722e-05,1,0,5,4,0,5,1,1,3,0,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
の良い,3.63611452304231e-05,0,0,20,2,0,12,2,3,4,4,1,0,1,11,1,2,0,2,2,2,0,1,2,0,7,1,0,1,0,13,0,14,0,0,5,1,15,0,0,5,4,0,1,5,0,0,1,0,0,1
のよい,3.57970312393031e-05,0,0,6,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
が悪いと,3.01702141551373e-05,6,0,4,0,0,1,0,0,0,1,1,0,0,2,0,4,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
も良いです,2.93552632978835e-05,5,0,4,0,1,1,1,4,9,0,0,0,4,2,0,5,0,0,1,0,0,2,2,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
が良いです,2.93410138501953e-05,7,0,7,0,1,15,0,2,4,1,0,2,0,5,0,6,0,0,0,0,0,2,1,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2
の悪い,2.74772419154094e-05,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
の高い,2.71989585624373e-05,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,11,0,0,0,1,0,0,0,0,5,0,0,0,0,5
がいいです,2.7136995932298e-05,6,0,3,0,0,12,1,1,3,0,0,0,0,1,0,6,1,1,0,0,1,0,2,2,1,0,0,1,0,9,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
もよく,2.61431185488715e-05,6,1,5,0,0,4,1,5,5,0,0,0,6,6,1,11,0,0,0,0,0,1,3,0,1,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
が悪いです,2.55015357569292e-05,10,0,2,0,2,2,0,0,2,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
も良好です,2.53719262149431e-05,1,0,0,2,0,1,0,2,3,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
がよい,2.52834501879258e-05,6,0,3,0,1,6,0,0,2,0,0,0,0,3,0,1,0,0,1,1,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1
も良く,2.48144362838495e-05,7,0,6,6,0,4,0,6,12,1,0,0,3,12,1,14,0,2,1,0,1,7,5,1,6,3,0,0,2,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,1,5
が悪いので,2.45463802397072e-05,5,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が高い,2.44400422417272e-05,0,0,2,0,0,0,0,1,3,1,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,2,0,0,0,0,6,0,1,0,0,9
は良いです,2.41557813537485e-05,10,0,5,1,1,10,0,14,6,0,0,2,2,3,1,13,0,0,1,0,0,2,1,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,4
は良好です,2.39531631122697e-05,0,0,3,0,0,5,0,9,6,0,0,3,1,3,0,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
もいいです,2.39074479264705e-05,6,1,0,1,1,1,0,3,3,0,0,0,1,1,0,9,1,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
がなります,2.25661818553336e-05,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
を上げて,2.25513500442123e-05,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
はいいと,2.24978594414758e-05,0,1,4,0,2,3,0,0,9,0,0,0,0,0,0,11,0,0,1,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2
が感じます,2.2391536916413e-05,2,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
が良くない,2.22668428650253e-05,5,0,1,0,1,1,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,2.20306610609498e-05,2,0,1,1,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
があります,2.18961221254665e-05,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3
は良く,2.16582722222184e-05,2,0,3,1,0,1,0,1,2,0,0,0,0,4,1,7,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はいいですね,2.13108598755517e-05,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
が良い,2.12922142607915e-05,24,0,14,8,1,17,0,3,4,0,0,1,0,6,0,24,0,2,2,1,1,7,1,0,4,2,1,0,0,7,0,1,0,0,0,1,2,1,1,2,1,0,0,1,1,2,0,0,0,4
がいいので,2.07778266896786e-05,6,1,0,1,1,1,0,1,2,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が悪いのが,2.06353051741431e-05,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,2.06041658114094e-05,4,0,3,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,2.05813518864988e-05,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
を考えると,2.05077637817561e-05,0,0,8,0,1,4,0,0,3,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
もいいですね,2.00463849886002e-05,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,1.98121066610291e-05,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,5,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
がいい,1.97235717915422e-05,10,0,4,1,1,1,0,1,1,0,0,1,3,1,0,9,0,0,0,0,2,1,0,0,5,0,0,0,0,9,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,4
を上げると,1.97187709805171e-05,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,1.96798300201944e-05,4,0,2,1,0,1,0,7,2,0,0,1,0,3,0,7,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
にありません,1.96613318599289e-05,1,0,0,0,0,1,0,2,3,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
がいいと,1.94722979181007e-05,2,0,4,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がよいです,1.94098861352649e-05,1,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよい,1.90948778298907e-05,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いのか,1.90423966280397e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
にあります,1.87858709925345e-05,0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,1.87664361595432e-05,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高い,1.85850535680654e-05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
も高く,1.8547890731981e-05,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,4
も良いですね,1.85377527360098e-05,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
は方だと,1.85302814178946e-05,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いので,1.84803889394881e-05,2,0,2,1,0,3,0,3,2,0,1,1,1,1,0,5,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
を上げる,1.84570244047013e-05,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が良いと,1.8446264913884e-05,2,0,9,0,1,6,0,1,2,0,1,0,0,1,0,13,2,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
があり,1.81802035830064e-05,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,4,0,0,1,1,0,0,0,0,4
はありません,1.80730916559812e-05,9,0,0,1,0,4,0,9,11,0,0,1,1,11,1,18,0,0,1,0,0,0,0,0,6,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,2
がよいと,1.79781961083517e-05,0,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,1.77958685526224e-05,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
がよければ,1.77893121580299e-05,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高いです,1.74138101437788e-05,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2
も悪い,1.73251811688118e-05,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,1.72293130962229e-05,8,0,8,1,1,5,2,4,10,0,0,0,0,12,0,19,0,0,2,0,1,11,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
は良いようです,1.71520002858771e-05,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いですが,1.71410803038104e-05,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
もあります,1.70974734767269e-05,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
もいい,1.70627219427057e-05,0,0,2,0,0,1,0,3,5,0,1,0,1,0,0,4,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあるので,1.70000454746024e-05,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,1.69516712819651e-05,2,1,0,0,1,0,0,3,3,0,0,0,1,2,0,2,0,1,0,0,1,5,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
が高いです,1.68982128363258e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
も良くて,1.68867117915765e-05,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も秀逸です,1.68623649755344e-05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪かったので,1.67797380644195e-05,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がありません,1.6765485804718e-05,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,1.67434628964874e-05,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
もありません,1.66557421999793e-05,0,0,0,0,0,1,0,5,1,0,0,1,1,1,1,6,0,1,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を上げても,1.66510423999325e-05,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよくない,1.65516210558979e-05,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にある,1.64027729093689e-05,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
がよいので,1.63768284914454e-05,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が上がり,1.59504985501122e-05,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いような,1.57792191651818e-05,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を上げた,1.55834549159788e-05,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあり,1.55279553868352e-05,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は落ちますが,1.52662174492988e-05,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
が低い,1.5213695696462e-05,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,4,0,0,0,0,1
はよく,1.51694777811562e-05,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
もある,1.50632391416914e-05,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
はいいです,1.49636321161894e-05,1,0,0,0,0,3,0,2,4,0,0,0,1,10,1,11,0,0,0,0,0,3,1,0,7,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
にありますが,1.48491560982641e-05,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
が良くなりました,1.47498955195004e-05,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
をした,1.46226349151901e-05,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
がなる,1.45828117956988e-05,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になり,1.45802442632741e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
になる,1.45481338725336e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
は抜群で,1.44354785639045e-05,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はいい,1.4430047517967e-05,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を下げて,1.43807959209693e-05,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,1.43502532552016e-05,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
が良いですね,1.43332424567899e-05,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
のある,1.43260271530949e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,2
はほうだと,1.43075053561432e-05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
もいいし,1.42993100366864e-05,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,2,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
